run_id,run_name,state,sweep_id,created_at,model,seed,lr,wd,epochs,batch_size,dice_weight,dataset_length,early_stop_patience,burn_in,val_every,link,depth,start_filters,max_rot_order,group_order,activation_type,fourier_N,fourier_function,kernel_size,conv_sigma,up_mode,total_params,val_DetA,val_Recall,val_DetA_ann1,val_DetA_ann2,val_Recall_ann1,val_Recall_ann2,test_DetA,test_Recall,test_HOTA,test_AssA,test_DetA_ann1,test_DetA_ann2,test_HOTA_ann1,test_HOTA_ann2,test_AssA_ann1,test_AssA_ann2
8wsgexov,mild-sweep-1,finished,,2026-04-22T20:11:14Z,,,,,,,,,,,,,,,,,,,,,,,488892,0.8094472289085388,0.8468074202537537,0.8254477977752686,0.8165721297264099,0.8331722617149353,0.8821089267730713,0.7905572652816772,,0.6934427618980408,0.6082581281661987,0.7905572652816772,,0.6934427618980408,,0.6082581281661987,
1vg6152g,dazzling-sweep-2,finished,,2026-04-22T20:11:15Z,,,,,,,,,,,,,,,,,,,,,,,430329,0.8053068518638611,0.834958016872406,0.8206517696380615,0.811011552810669,0.8199390172958374,0.8701815009117126,0.7793020009994507,,0.6893750429153442,0.6098251342773438,0.7793020009994507,,0.6893750429153442,,0.6098251342773438,
f5qu307s,dutiful-sweep-3,finished,,2026-04-22T21:07:44Z,,,,,,,,,,,,,,,,,,,,,,,373168,0.8124890327453613,0.8211900591850281,0.8264527916908264,0.818634569644928,0.8143632411956787,0.850561797618866,0.8048108220100403,,0.7190344333648682,0.6424000859260559,0.8048108220100403,,0.7190344333648682,,0.6424000859260559,
2l2il0fm,stilted-sweep-4,finished,,2026-04-22T21:08:21Z,,,,,,,,,,,,,,,,,,,,,,,322249,0.8111410737037659,0.8527157306671143,0.8284345269203186,0.816689670085907,0.8372611999511719,0.8891962170600891,0.8040936589241028,,0.7180076837539673,0.6411380767822266,0.8040936589241028,,0.7180076837539673,,0.6411380767822266,
z9sqxxss,clean-sweep-5,finished,,2026-04-22T22:01:47Z,,,,,,,,,,,,,,,,,,,,,,,273389,0.8112591505050659,0.8451544642448425,0.82670658826828,0.8166870474815369,0.8322057723999023,0.8791702389717102,0.8050737977027893,,0.7242311239242554,0.6515063643455505,0.8050737977027893,,0.7242311239242554,,0.6515063643455505,
11engmb1,vital-sweep-6,finished,,2026-04-22T22:03:00Z,,,,,,,,,,,,,,,,,,,,,,,231879,0.8116456866264343,0.8335404396057129,0.8241522312164307,0.8185108304023743,0.823581874370575,0.8673292994499207,0.8080272674560547,,0.7290376424789429,0.6577696800231934,0.8080272674560547,,0.7290376424789429,,0.6577696800231934,
dceyjrz4,earnest-sweep-7,finished,,2026-04-22T22:49:58Z,,,,,,,,,,,,,,,,,,,,,,,188829,0.8051509261131287,0.8708741664886475,0.8190291523933411,0.813962459564209,0.8507917523384094,0.915989637374878,0.7861350774765015,,0.7034357190132141,0.6294360756874084,0.7861350774765015,,0.7034357190132141,,0.6294360756874084,
tg339li9,northern-sweep-8,finished,,2026-04-22T22:50:39Z,,,,,,,,,,,,,,,,,,,,,,,157348,0.8071167469024658,0.8525729775428772,0.8159618377685547,0.8150111436843872,0.8340643644332886,0.8902333378791809,0.814760684967041,,0.7232159972190857,0.6419570446014404,0.814760684967041,,0.7232159972190857,,0.6419570446014404,
ykm8lssw,fast-sweep-9,finished,,2026-04-22T23:34:42Z,,,,,,,,,,,,,,,,,,,,,,,121391,0.8033158779144287,0.8197873830795288,0.8158367276191711,0.8137406706809998,0.809307873249054,0.8501296639442444,0.8090142011642456,,0.7180162072181702,0.6372536420822144,0.8090142011642456,,0.7180162072181702,,0.6372536420822144,
6fgwjq5l,avid-sweep-10,finished,,2026-04-22T23:37:37Z,,,,,,,,,,,,,,,,,,,,,,,93152,0.8061438798904419,0.83415687084198,0.8175898194313049,0.8149405717849731,0.8221693634986877,0.8657735586166382,0.818820059299469,,0.7340461015701294,0.6580489277839661,0.818820059299469,,0.7340461015701294,,0.6580489277839661,
