run_id,run_name,state,sweep_id,created_at,model,seed,lr,wd,epochs,batch_size,dice_weight,dataset_length,early_stop_patience,burn_in,val_every,link,depth,start_filters,max_rot_order,group_order,activation_type,fourier_N,fourier_function,kernel_size,conv_sigma,up_mode,total_params,epoch,val_DetA,val_DetA_ann1,val_DetA_ann2,val_DetA_ann3,val_Recall,val_Recall_ann1,val_Recall_ann2,val_Recall_ann3,val_HOTA,val_HOTA_ann1,val_HOTA_ann2,val_HOTA_ann3,val_AssA,val_AssA_ann1,val_AssA_ann2,val_AssA_ann3,test_DetA,test_DetA_ann1,test_HOTA,test_HOTA_ann1,test_AssA,test_AssA_ann1
8wsgexov,mild-sweep-1,finished,,2026-04-22T20:11:14Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,16,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,488892,100,0.8094472289085388,0.8254477977752686,0.8165721297264099,0.786321759223938,0.8468074202537537,0.8331722617149353,0.8821089267730713,0.8251411318778992,0.7513543963432312,0.7517207860946655,0.7542670369148254,0.7480753660202026,0.6976613402366638,0.6845788955688477,0.6967158913612366,0.711689293384552,0.7905572652816772,0.7905572652816772,0.6934427618980408,0.6934427618980408,0.6082581281661987,0.6082581281661987
1vg6152g,dazzling-sweep-2,finished,,2026-04-22T20:11:15Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,15,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,430329,100,0.8053068518638611,0.8206517696380615,0.811011552810669,0.784257173538208,0.834958016872406,0.8199390172958374,0.8701815009117126,0.8147534728050232,0.7393864989280701,0.733426034450531,0.7514907717704773,0.7332426309585571,0.6791186928749084,0.6554713845252991,0.6963382959365845,0.6855464577674866,0.7793020009994507,0.7793020009994507,0.6893750429153442,0.6893750429153442,0.6098251342773438,0.6098251342773438
f5qu307s,dutiful-sweep-3,finished,,2026-04-22T21:07:44Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,14,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,373168,100,0.8124890327453613,0.8264527916908264,0.818634569644928,0.7923797369003296,0.8211900591850281,0.8143632411956787,0.850561797618866,0.7986450791358948,0.7586337924003601,0.7530925869941711,0.7660737633705139,0.7567350268363953,0.7086085081100464,0.6862441897392273,0.7168876528739929,0.7226937413215637,0.8048108220100403,0.8048108220100403,0.7190344333648682,0.7190344333648682,0.6424000859260559,0.6424000859260559
2l2il0fm,stilted-sweep-4,finished,,2026-04-22T21:08:21Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,13,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,322249,100,0.8111410737037659,0.8284345269203186,0.816689670085907,0.7882990837097168,0.8527157306671143,0.8372611999511719,0.8891962170600891,0.8316898941993713,0.7496596574783325,0.7492626309394836,0.753557562828064,0.7461587190628052,0.6930779218673706,0.6776570081710815,0.6953057050704956,0.7062711119651794,0.8040936589241028,0.8040936589241028,0.7180076837539673,0.7180076837539673,0.6411380767822266,0.6411380767822266
z9sqxxss,clean-sweep-5,finished,,2026-04-22T22:01:47Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,12,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,273389,100,0.8112591505050659,0.82670658826828,0.8166870474815369,0.7903838157653809,0.8451544642448425,0.8322057723999023,0.8791702389717102,0.8240873217582703,0.7545887231826782,0.7506210803985596,0.7614578604698181,0.751687228679657,0.7021289467811584,0.6815380454063416,0.7099636197090149,0.7148852348327637,0.8050737977027893,0.8050737977027893,0.7242311239242554,0.7242311239242554,0.6515063643455505,0.6515063643455505
11engmb1,vital-sweep-6,finished,,2026-04-22T22:03:00Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,11,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,231879,100,0.8116456866264343,0.8241522312164307,0.8185108304023743,0.7922739386558533,0.8335404396057129,0.823581874370575,0.8673292994499207,0.8097102046012878,0.7618932127952576,0.7580631971359253,0.772021472454071,0.7555950284004211,0.7153535485267639,0.6972739100456238,0.7281726002693176,0.7206141948699951,0.8080272674560547,0.8080272674560547,0.7290376424789429,0.7290376424789429,0.6577696800231934,0.6577696800231934
dceyjrz4,earnest-sweep-7,finished,,2026-04-22T22:49:58Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,10,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,188829,100,0.8051509261131287,0.8190291523933411,0.813962459564209,0.7824611067771912,0.8708741664886475,0.8507917523384094,0.915989637374878,0.8458411693572998,0.751737117767334,0.7515958547592163,0.7674641013145447,0.7361515164375305,0.701973021030426,0.6897144913673401,0.7236219644546509,0.6925826668739319,0.7861350774765015,0.7861350774765015,0.7034357190132141,0.7034357190132141,0.6294360756874084,0.6294360756874084
tg339li9,northern-sweep-8,finished,,2026-04-22T22:50:39Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,9,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,157348,100,0.8071167469024658,0.8159618377685547,0.8150111436843872,0.7903772592544556,0.8525729775428772,0.8340643644332886,0.8902333378791809,0.8334211707115173,0.7519519925117493,0.7495221495628357,0.766589343547821,0.7397444248199463,0.7006306648254395,0.6884922981262207,0.7210444211959839,0.692355215549469,0.814760684967041,0.814760684967041,0.7232159972190857,0.7232159972190857,0.6419570446014404,0.6419570446014404
ykm8lssw,fast-sweep-9,finished,,2026-04-22T23:34:42Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,8,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,121391,100,0.8033158779144287,0.8158367276191711,0.8137406706809998,0.7803701758384705,0.8197873830795288,0.809307873249054,0.8501296639442444,0.7999247312545776,0.7474682331085205,0.7407069802284241,0.7660377621650696,0.7356598973274231,0.6957128047943115,0.6724959015846252,0.7211312055587769,0.6935112476348877,0.8090142011642456,0.8090142011642456,0.7180162072181702,0.7180162072181702,0.6372536420822144,0.6372536420822144
6fgwjq5l,avid-sweep-10,finished,,2026-04-22T23:37:37Z,equiunet,0,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,7,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,93152,100,0.8061438798904419,0.8175898194313049,0.8149405717849731,0.7859013080596924,0.83415687084198,0.8221693634986877,0.8657735586166382,0.814527690410614,0.7475311160087585,0.7375991344451904,0.7628023624420166,0.7421917915344238,0.6934491991996765,0.6654345393180847,0.7139998078346252,0.7009133100509644,0.818820059299469,0.818820059299469,0.7340461015701294,0.7340461015701294,0.6580489277839661,0.6580489277839661
