ckpt,n_detections,det_only_DetA,HOTA,DetA,AssA,n_tracks
unet_sf16_seed0_synthetic_smooth-sweep-1-best.ckpt,56506,0.7981099369978999,0.7701207931614141,0.8563744324135523,0.6925545808134987,1569
unet_sf16_seed1_synthetic_volcanic-sweep-2-best.ckpt,53545,0.7870622700640414,0.8002441877499731,0.8718594330223711,0.7345114771628357,1407
unet_sf16_seed2_synthetic_firm-sweep-3-best.ckpt,56566,0.7956980303433591,0.7696521691623357,0.8517413107983828,0.6954746165135911,1561
unet_sf16_seed3_synthetic_proud-sweep-4-best.ckpt,55853,0.7951551068923376,0.7757328212583181,0.8590893926357747,0.700464253354501,1542
unet_sf16_seed4_synthetic_amber-sweep-5-best.ckpt,57516,0.7910916657071895,0.7700564300706497,0.8424226892192038,0.7039066172858676,1633
